accession,source_database,title,organism,disease,mutation,cell_type,assay_type,platform,sample_count,control_count,case_count,processed_matrix_available,raw_fastq_available,metadata_available,publication,publication_year,download_url,keep_status,priority_score,reason_for_keep_or_exclude,notes
GSE126358,NCBI GEO/GDS,Defective metabolic programming impairs early neuronal morphogenesis in neural cultures and an organoid model of Leigh syndrome [polyA RNA-seq],Homo sapiens,mitochondrial disease,,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL23227,24,,,yes,no,yes,PMID:33771987; PMID:42009687,2021,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126358/,maybe_secondary,2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200126358; matched_queries: mitochondrial disease iPSC RNA-seq; suppfile: TXT; bioproject: PRJNA521701; screened_with_gds_summary
GSE282940,NCBI GEO/GDS,NEXN deficiency leads to dilated cardiomyopathy in human pluripotent stem cell-derived cardiomyocytes,Homo sapiens,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL30209,2,,,unknown,no,yes,,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282940/,exclude_low_priority,1,cardiac/cardiomyopathy relevance,Entrez UID: 200282940; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; bioproject: PRJNA1191047; screened_with_gds_summary
GSE254539,NCBI GEO/GDS,CXCL10 and IFN-γ Mediate Myocarditis Post-COVID19 mRNA Vaccination.,Homo sapiens; Mus musculus,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,24676;24247,42,,,unknown,no,yes,,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254539/,exclude_low_priority,1,cardiac/cardiomyopathy relevance,Entrez UID: 200254539; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; bioproject: PRJNA1070987; screened_with_gds_summary
GSE221699,NCBI GEO/GDS,Chromatin Remodeling Drives Immune-Fibroblast Cell Communication in Heart Failure,Homo sapiens; Mus musculus,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other,18573;19057;24247,57,,,unknown,no,yes,,2024,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221699/,exclude_low_priority,1,cardiac/cardiomyopathy relevance,Entrez UID: 200221699; matched_queries: heart failure cardiomyocyte single nucleus RNA-seq; bioproject: PRJNA915384; screened_with_gds_summary
GSE333536,NCBI GEO/GDS,The MEK inhibitor trametinib incurs mitochondrial injury and induces innate immune responses in the mouse heart,Mus musculus,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL19057,6,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE333nnn/GSE333536/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200333536; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq | human cardiomyopathy cardiomyocyte RNA-seq; suppfile: XLSX; bioproject: PRJNA1471266; screened_with_gds_summary
GSE327921,NCBI GEO/GDS,Targeting PDE2A of macrophages attenuates sorafenib-induced cardiotoxicity,Mus musculus,mitochondrial dysfunction / OXPHOS,,cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,12,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327921/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200327921; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: XLSX; bioproject: PRJNA1453000; screened_with_gds_summary
GSE327065,NCBI GEO/GDS,Persistent Methylmalonate Overload Despite Glycemic Control Drives Mitochondrial Dyshomeostasis and Subclinical Heart Damage in Diabetes,Mus musculus,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,6,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327065/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200327065; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1449406; screened_with_gds_summary
GSE326721,NCBI GEO/GDS,Broad therapeutic benefit of myosin inhibition in hypertrophic cardiomyopathy [RNASeq_LSM],Mus musculus,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL21103,16,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE326nnn/GSE326721/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200326721; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1446799; screened_with_gds_summary
GSE326720,NCBI GEO/GDS,Broad therapeutic benefit of myosin inhibition in hypertrophic cardiomyopathy [RNASeq_MAVA],Mus musculus,cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,13,,,yes,yes,yes,,2026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE326nnn/GSE326720/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200326720; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: CSV; bioproject: PRJNA1446804; screened_with_gds_summary
GSE304830,NCBI GEO/GDS,RRAD-reduction reveals efficacy of targeting L-type calcium channel regulation for treatment of heart failure,Mus musculus,heart failure,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,10,,,yes,no,yes,PMID:41032675,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304830/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200304830; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: CSV; bioproject: PRJNA1303013; screened_with_gds_summary
GSE292651,NCBI GEO/GDS,Q373fs variant of RBM20 affects splicing of cardiac genes that are causative for sudden death; Human sudden death case and animal experiment,Mus musculus,dilated cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,9,,,yes,no,yes,PMID:41076636,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292651/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200292651; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: XLSX; bioproject: PRJNA1240602; screened_with_gds_summary
GSE262105,NCBI GEO/GDS,Semaglutide ameliorates cardiac remodeling in male mice by optimizing energy substrate utilization through the Creb5/NR4a1 axis,Mus musculus,heart failure,,cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,21,,,yes,no,yes,PMID:38834564,2024,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE262nnn/GSE262105/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200262105; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: XLSX; bioproject: PRJNA1090397; screened_with_gds_summary
GSE244462,NCBI GEO/GDS,Molecular remodeling of myocardium in mice with melanocortin-4 receptor deletion before cardiac function impairment,Mus musculus,dilated cardiomyopathy,,human cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,6,,,yes,no,yes,PMID:41615915,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244462/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200244462; matched_queries: human cardiomyopathy cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1023221; screened_with_gds_summary
GSE241464,NCBI GEO/GDS,Expression of expanded GGC repeats within NOTCH2NLC causes cardiac dysfunction in mouse models,Mus musculus,mitochondrial dysfunction / OXPHOS,,cardiomyocytes,Expression profiling by high throughput sequencing,GPL24247,12,,,yes,no,yes,PMID:37644522,2023,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241464/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200241464; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: TXT; bioproject: PRJNA1008212; screened_with_gds_summary
GSE217964,NCBI GEO/GDS,Neddylation is required for perinatal cardiac development through stimulation of metabolic maturation,Mus musculus,heart failure,,cardiomyocytes,Expression profiling by high throughput sequencing,GPL19057,8,,,yes,no,yes,PMID:36662623,2022,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE217nnn/GSE217964/,maybe_secondary,0,cardiac/cardiomyopathy relevance; processed supplementary table likely available,Entrez UID: 200217964; matched_queries: mitochondrial dysfunction cardiomyocyte RNA-seq; suppfile: XLSX; bioproject: PRJNA901483; screened_with_gds_summary
GSE300902,NCBI GEO/GDS,Rewriting nuclear epigenetic scripts in mitochondrial diseases as a strategy for heteroplasmy control,Homo sapiens,MERRF syndrome,m.8344A>G,,Methylation profiling by genome tiling array,GPL21145,14,,,yes,no,yes,PMID:40790102,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE300nnn/GSE300902/,maybe_secondary,-1,contains MERRF/m.8344A>G/MT-TK terms; processed supplementary table likely available,"Entrez UID: 200300902; matched_queries: m.8344A>G; suppfile: IDAT, TXT; bioproject: PRJNA1282634; screened_with_gds_summary; Step 4 dataset re-check candidate; not selected as primary without further confirmation"
GSE270108,NCBI GEO/GDS,Mitochondrial Complex I inhibition enhances astrocyte responsiveness to pro-inflammatory stimuli,Mus musculus,mitochondrial disease,,human iPSC-derived neurons / neural cells,Expression profiling by high throughput sequencing,GPL19057,18,,,yes,no,yes,PMID:39516523,2025,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE270nnn/GSE270108/,maybe_secondary,-2,uses iPSC-related model; processed supplementary table likely available,Entrez UID: 200270108; matched_queries: mitochondrial disease iPSC RNA-seq; suppfile: TSV; bioproject: PRJNA1125009; screened_with_gds_summary
